"pid"	"Title"	"Alternative_Title"	"Creator"	"Contributors"	"Description"	"Source"	"Date_Created"	"Type"	"Format"	"Subject"	"personalNames"	"corporateNames"	"geographicTerms"	"Genre"	"Century"	"Spatial"
"draft:15664"	"Horseman."	""	""	""	"This equestrian sculpture was unearthed near Djenne in the Inland Delta region of the Niger River, the heart of the Mali Empire between the 13th and 16th centuries. Archaeological evidence indicates that this region had highly developed urban centers as early as 200 B.C. This sculpture represents a warrior dressed in military gear. He is equipped with a quiver (case to hold arrows) on his backs and the horse is equipped with a bridle and ceremonial adornment around its neck. The equestrian is noteworthy because of its depiction of a horse, an animal not indigenous to Africa. Because horses in this area required so much care and maintenance, their presence usually indicated a society with the wealth and resources to ensure their well-being.|Location created: Old Jenne, Mali.|Date created: 13th-15th century CE.|Current location: National Museum of African Art, Smithsonian Institution.|Medium: Terra cotta.|Measurements: 70.5 cm high.|Accession Number: 15.8493-14.13"	"Stosktad 14.13"	"1400"	"Image"	"image/tiff"	"Sculpture, African.|Terra-cotta sculpture, Malian.|Equestrian statues."	""	""	""	"Jenne."	""	""
"draft:15663"	"Plaque: Warrior Chief Flanked by Warriors and Attendants."	""	""	""	"During the sixteenth and seventeenth centuries, a remarkable series of works were created to adorn the exterior of the royal palace in Benin City. These plaques are understood to have autonomous meaning and to tell complex narratives in relationship to one another. The authors of such works were far more concerned with the communication of hierarchies and status than in capturing individual physical features. These plaques conform to a convention of 'hierarchical proportions' wherein the largest figure is the one with the greatest authority and rank. In this example, it is a warrior chief. He is in the center, flanked on either side by soldiers of lesser rank. Regalia and symbols of status are emphasized above all other aspects of the subject depicted.|Location created: Benin City, Nigeria.|Date created: c. 1550-1650 CE.|Current location: The Nelson-Atkins Museum of Art, Kansas City, Missouri.|Medium: Brass.|Measurements: 37.5x39.4cm.|Accession Number: 15.8493-14.10"	"Stosktad 14.10"	"1650"	"Image"	"image/tiff"	"Sculpture, African.|Art, Beninese."	""	""	""	"Middle Benin (Benin (ancient Nigerian style)"	""	""
"draft:15662"	"Hip Pendant Representing an Iyoba, Queen Mother."	"Horn Players Announce Arrival of King at Ique Ceremony at Palace"	""	""	"This ivory pendant mask is believed to have been produced in the early sixteenth century for the King or 'Oba' Esigie, the king of Benin, to honor his mother, Idia. The Oba may have worn it at rites commemorating his mother, although today such pendants are worn at annual ceremonies of spiritual renewal and purification. In Benin, ivory is related to the color white, a symbol of ritual purity that is associated with Olokun, god of the sea. As the source of extraordinary wealth and fertility, Olokun is the spiritual counterpart of the 'oba'. Ivory is central to the constellation of symbols surrounding Olokun and the 'oba'. Not only is it white, but it is itself Benin's principle commercial commodity and it helped attract the Portuguese traders who also brought wealth to Benin.|Location created: Benin City, Nigeria.|Date created: c. 1550 CE.|Current location: Metropolitan Museum of Art, New York.|Medium: Ivory, iron, copper.|Measurements: 23.4cm tall.|Accession Number: 15.8493-14.9"	"Stokstad 14.9"	"1550"	"Image"	"image/tiff"	"Sculpture, African.|Art, Beninese.|Ivory."	""	""	""	"Middle Benin (Benin (ancient Nigerian style)"	""	""
"draft:15661"	"Photograph of an Altar."	""	""	""	"Benin heads, together with other objects, were originally placed on a semicircular platform or altar and surrounded by elephant tusks, another symbol of power.|Location created: Nigeria.|Date created: c. 1959 CE.|Current location: National Museum of African Art, Smithsonian Institution, Washington, DC.|Medium: brass, tusks.|Accession Number: 15.8493-14.8"	"Stokstad 14.8"	"1959"	"Image"	"image/tiff"	"Sculpture, African.|Edo-speaking peoples.|Altars."	""	""	""	"Edo (African culture)"	""	""
"draft:15660"	"Memorial Head of an Oba."	""	""	""	"The leaders of the kingdom of Benin in present-day Nigeria trace their origins to a ruling dynasty that began in the fourteenth century. The title of 'oba,' or king, is passed on to the firstborn son of each successive king of Benin at the time of his death. The first obligation of each new king during this transfer of rule is to commemorate his father with a portrait cast in bronze and placed on an altar at the palace. The altar constitutes an important site of palace ritual and is understood to be a means of incorporating the ongoing influence of past kings in the affairs of their descendants. This head belongs to a small group of rare Early Period sculptures called 'rolled collar' heads that are distinguished by the rolled collar which serves as a firm base for the sculpture.|Location created: Benin, Nigeria.|Date created: c. 16th century CE.|Current location: The Nelson-Atkins Museum of Art, Kansas City, Missouri.|Medium: Brass.|Measurements: 23cm tall.|Accession Number: 15.8493-14.7"	"Stosktad 14.7"	"1500"	"Image"	"image/tiff"	"Sculpture, African.|Art, Beninese."	""	""	""	"Early Benin."	""	""
"draft:15659"	"Section of San Rock-wall Painting."	""	""	""	"The San, or Bushmen, are the indigenous people of Southern Africa. Their ancient rock paintings and carvings (collectively called rock art) are found all over Southern Africa in caves and on rock shelters. The San depicted non-human beings, hunters, and half-human half-animal hybrids. The half-human hybrids are believed to be the medicine men or healers.|Location created: Drakensberg Mountains, South Africa.|Date created: 13000-8000 BCE.|Medium: Pigment and eland blood on rock.|Accession Number: 15.8493-14.4"	"Stokstad 14.4"	"8000"	"Image"	"image/tiff"	"Painting, African."	""	""	""	"rock paintings.|prehistoric Sub-Saharan African periods.|San (Khoisan-speaking peoples styles)"	""	""
"draft:15658"	"Burial Chamber."	""	"Sassoon, Caroline."	""	"This reconstruction painting shows the placement of the ruler and artifacts in a Igbo-Ukwu burial chamber in the 10th century CE. Emblems of power and authority were placed in the chamber, such as ivory tusks, imported beads and other adornments as well as a cast-bronze representation of a leopard skull. Leopards and Elephants remain symbols of temporal and spiritual leadership in Africa today.|Location created: Igbo-Ukwi, Nigeria.|Date created: 10th century CE.|Medium: painting.|Accession Number: 15.8493-14.5"	"Stokstad 14.5"	"950"	"Image"	"image/tiff"	"Burial.|Igbo (African people)"	""	""	""	"Igbo-Ukwu."	""	""
"draft:15657"	"Ritual Vessel."	""	""	""	"Ife terracotta works constitute a large and diverse corpus that includes sculptures and vessels depicting human, animal, and other-worldly subjects. In Yoruba tradition, women are the clayworkers. They produce both sacred and secular pieces and may have been the creators of the archaeological terracottas. This ritual vessel would have been used to pour libations (liquid offerings) before being broken and buried.|Location created: Ife, Nigeria.|Date created: 13th-14th century CE.|; Current location: University Art Museum, Obafemi, Awolowo University, Ife, Nigeria.|Medium: terra cotta.|Measurements: 24.9cm tall.|Accession Number: 15.8493-14.6"	"Stokstad 14.6"	"1300"	"Image"	"image/tiff"	"Sculpture, African.|Terra-cotta sculpture, Nigerian.|Ifè (African people)"	""	""	""	"Ife (ancient Nigerian style)"	""	""
"draft:15656"	"Crowned Head of a Yoruba Ruler."	""	""	""	"The sculptural tradition of casting lifelike human heads began in Ife about 1050 CE and flourished over 4 centuries. Although the ancestral line of the Ife oni (king) has continued unbroken, knowledge of the precise purpose of these works has been lost. This cast-bronze head demonstrates the extraordinary artistry that produced them. The modeling of the flesh is covered with thin, parallel stratification patterns (decorations made by scarring) It is debated whether the Ife heads are true portraits; however they all represent individuals of a similar age and embody the concept of physical perfection.|Location created: Ife, Nigeria.|Date created: 12th-15th century CE.|Current location: Museum of Ife Antiquities, Ife, Nigeria.|Medium: Zinc brass.|Measurements: 24cm tall.|Accession Number: 15.8493-14.1"	"Stokstad 14.1"	"1400"	"Image"	"image/tiff"	"Sculpture, African.|Metal sculpture, Yoruba."	""	""	""	"Ife (ancient Nigerian style)"	""	""
"draft:15655"	"Dancers in Ceremonial Attire."	""	""	""	"The mountains of the Sahara contain images that span thousands of years. The earliest Saharan rock art is thought to date from at least 8000 BCE. Scenes found on rock caves in both Algeira and Libya depict men and women dancing or performing ceremonial activities. The artists paid close attention to details of clothing, body decoration and headdresses. It is suggested that they are engaged in rituals intended to ensure adequate rainfall or success in hunting, or to honor the dead. This view of two figures is from a section of a rock-wall painting.|Location created: Tassili-n-Ajjer, Algeria.|Date created: c. 5000-2000 BCE.|Medium: Section of rock-wall painting.|Accession Number: 15.8493-14.2"	"Stokstad 14.2"	"2000"	"Image"	"image/tiff"	"Painting, African."	""	""	"Africa, Sub-Saharan."	"rock paintings.|prehistoric Sub-Saharan African periods."	""	""
"draft:15654"	"Head."	""	""	""	"In 1943, tin mining in the vicinity of the village of Nok near the Jos Plateau region of Nigeria brought to light a terracotta head, evidence of the oldest known figurative sculpture south of the Sahara. Although terracottas are usually formed using additive techniques, many Nok pieces were sculpted subtractively in a manner similar to carving. This distinctive approach suggests that a comparable wood-carving tradition may have influenced them. Although every Nok head is unique, certain stylistic traits are found throughout the corpus of known work. Triangular eyes and perforated pupils, noses, mouths, and ears combine to depict men and women with bold, abstracted features. Perhaps the most striking aspects of Nok sculptures are the elaborately detailed hairstyles and jewelry that adorn many of the figures. The great sophistication of Nok terracottas has led some scholars to believe that an older, as yet undiscovered tradition must have preceded Nok terracotta arts.|Location created: Nok, Nigeria.|Date created: c. 500 BCE- 200 CE.|Current location: National Museum, Lagos, Nigeria.|Medium: Terra cotta.|Measurements: 36cm tall.|Accession Number: 15.8493-14.3"	"Stokstad 14.3"	"200"	"Image"	"image/tiff"	"Sculpture, African.|Terra-cotta sculpture, Nok."	""	""	""	"Nok (culture or style)"	""	""
